H_Metric_Title,L_Metric_Level,Metric_Date,Gap,Action,Driver,Resolution,Recovery_Date
Scope Stability after breaker open,BA,2021-03-01,Scope Stability after breaker open is below Industry standards of 95%,"Develop a change plan for BP-PROC-00946 to define steps, sub-milestones, sequencing, training and timelines within initial scoping milestone (MS1).  Includes but not limited to revising guidance for obtaining the initial data set, heat mapping, operations and engineering reviews, system window TAMs, approvals, etc.  Owner: T. Smith, (CR# 25876-6413528) TCD: 31MAY2021
Activity moved until end of May, but engineering is targeting completion by end of April.  
Interim Actions Completed:
A Terms of Reference was created for use in scoping B2381. 
• Terms of reference was approved and signed by all SRB quorum members on how to conduct initial scoping (cross functional scoping meetings by window). 
• Cross Functional initial scoping was completed on time and to goals of TOR. 
• BP-PROC-00946 updates are in progress. A draft was completed by the end of the month, but some misalignment in approach by all stakeholders.  A page turn has been completed on 08April21 for additional stakeholder input and alignment.  Proc includes TOR of reference used for B2381. 
•BP-PROC-00946 to be presented to Peer team for approval. 
2.Level and optimize PM scope such that it is accomplishable in a 50 day outage based on historical resource and production rates. 
•Development and Refinement of PM Program and Strategy
•Development and Refinement of PM Backbone Schedule  Owner: Colin Graham, TCD: 30JUN2021","1. Initial Outage Scoping is not completed with quality resulting in missed scope and late scope additions which impacts outage preparation and execution performance.  
2. Do not have a predictable levelized PM strategy",Meet Industry standards of 95% or greater,2021-06-30
Scope Stability after breaker open,BA,2021-05-01,"Scope Stability after breaker open is below Industry standards of 95% ","1. Issue change plan to define steps, sub milestones, sequencing, training, and timelines within initial scoping milestones.  This includes but not limited to getting a quality initial data set, heat mapping, Operations reviews, window TAMS, and approvals.  Revise and implement BP-PROC-00946 All Known Scope Identified and associated documents.   Owner: N.Bibus TCD: 6/30/2021  
2. Level and optimize PM scope such that it is accomplishable in a 50 day outage based on historical resource and production rates. 
•Development and Refinement of PM Backbone Schedule  Owner Colin Graham TCD 06/30/21","1. Initial Outage Scoping is not completed with quality resulting in missed scope and late scope additions which impacts outage preparation and execution performance.  
2. Do not have a predictable levelized PM strategy.",Meet Industry standards of 95% or greater,NULL
Scope Stability after breaker open,BA,2021-06-01,Scope Stability after breaker open is below Industry standards of 95%,"1.:  Issue change plan to define steps, sub milestones, sequencing, training, and timelines within initial scoping milestones.  This includes but not limited to getting a quality initial data set, heat mapping, Operations reviews, window TAMS, and approvals.  Revise and implement BP-PROC-00946 All Known Scope Identified and associated documents.   Owner: N.Bibus COMPLETE. Level and optimize PM scope such that it is accomplishable in a 50 day outage based on historical resource and production rates. 
•Development and Refinement of PM Backbone Schedule  Owner Colin Graham TCD 06/30/21
Update BP-PROC-00328 Work Prioritization to align with Industry Best Practice and ensure there is clear guidance for Outage Scoping for work identified prior to and after Milestone 1 – Owner Greg Wolfe TCD 7/30/2021                                                                                                                      Revise BP-PROC-00342 Sheet 2 Scope Review Process based on effectiveness review results of established Pilot to align SRB and SRP quorum for consistency and alignment with industry best practice – Owner Derek Alstein TCD 7/31/2021","1. Initial Outage Scoping is not completed with quality resulting in missed scope and late scope additions which impacts outage preparation and execution performance.  
2. Do not have a predictable levelized PM strategy.","Meet Industry standards of 95% or greater                                                                                                            
A2111- 67.45%                                                                                                                                                     
A2131-94.94%",NULL
Scope Stability after breaker open,BA,2021-09-01,Scope Stability after breaker open is below Industry standards of 95%,"A1:  Issue change plan to define steps, sub milestones, sequencing, training, and timelines within initial scoping milestones.  This includes but not limited to getting a quality initial data set, heat mapping, Operations reviews, window TAMS, and approvals.  Revise and implement BP-PROC-00946 All Known Scope Identified and associated documents.   Owner: N.Bibus COMPLETE. 
A2: Level and optimize PM scope such that it is accomplishable in a 50 day outage based on historical resource and production rates. Development and Refinement of PM Backbone Schedule  Owner: Colin Graham STATUS: COMPLETE 
A3: Revise BP-PROC-00342 Sheet 2 Scope Review Process based on effectiveness review results of established Pilot to align SRB and SRP quorum for consistency and alignment with industry best practice – Owner Derek Alstein STATUS: COMPLETE
A4: Create an outage hand book to provide clarity for both scope initiators and OEM quality checks to ensure scope meets criteria for acceptance into outage.  Owner: A. Marquardt TCD: COMPLETE
A5: Complete roll out of revised scope review process to all stakeholders.  Owner: Z. Brajuah TCD: 22OCT2021
A6: Reinforce expectations of revised BP-PROC-00342 Sheet 2 Scope Review Process and newly created BP-HBK-08131-00041 Outage Scope Control Handbook through OEM quality checks prior to submission to SRP.  Owner: D. Edwards TCD: 15DEC2021","D1. Initial Outage Scoping is not completed with quality resulting in missed scope and late scope additions which impacts outage preparation and execution performance.  
D2. Do not have a predictable levelized PM strategy.","Meet Industry standards of 95% or greater                                                                                                            
A2111- 67.45%                                                                                                                                                     
A2131-78.65%",2021-12-31
Scope Stability after breaker open,BA,2021-07-01,Scope Stability after breaker open is below Industry standard.,"1.:  Issue change plan to define steps, sub milestones, sequencing, training, and timelines within initial scoping milestones.  This includes but not limited to getting a quality initial data set, heat mapping, Operations reviews, window TAMS, and approvals.  Revise and implement BP-PROC-00946 All Known Scope Identified and associated documents.   Owner: N.Bibus COMPLETE. Level and optimize PM scope such that it is accomplishable in a 50 day outage based on historical resource and production rates. 
•Development and Refinement of PM Backbone Schedule  Owner Colin Graham Complete 
Update BP-PROC-00328 Work Prioritization to align with Industry Best Practice and ensure there is clear guidance for Outage Scoping for work identified prior to and after Milestone 1 – Owner Greg Wolfe TCD 8/30/2021                                                                                                                      
Revise BP-PROC-00342 Sheet 2 Scope Review Process based on effectiveness review results of established Pilot to align SRB and SRP quorum for consistency and alignment with industry best practice – Owner Derek Alstein Complete","1. Initial Outage Scoping is not completed with quality resulting in missed scope and late scope additions which impacts outage preparation and execution performance.  
2. Do not have a predictable levelized PM strategy.","Meet Industry standards of 95% or greater                                                                                                            
A2111- 67.45%                                                                                                                                                     
A2131-94.94%",NULL
Scope Stability after breaker open,BA,2021-08-01,Scope Stability after breaker open is below Industry standards of 95%,"A1:  Issue change plan to define steps, sub milestones, sequencing, training, and timelines within initial scoping milestones.  This includes but not limited to getting a quality initial data set, heat mapping, Operations reviews, window TAMS, and approvals.  Revise and implement BP-PROC-00946 All Known Scope Identified and associated documents.   Owner: N.Bibus COMPLETE. 
A2: Level and optimize PM scope such that it is accomplishable in a 50 day outage based on historical resource and production rates. Development and Refinement of PM Backbone Schedule  Owner: Colin Graham STATUS: COMPLETE 
A3: Update BP-PROC-00328 Work Prioritization to align with Industry Best Practice and ensure there is clear guidance for Outage Scoping for work identified prior to and after Milestone 1 – Owner Greg Wolfe TCD 30SEP2021                                                                                                                      
A4: Revise BP-PROC-00342 Sheet 2 Scope Review Process based on effectiveness review results of established Pilot to align SRB and SRP quorum for consistency and alignment with industry best practice – Owner Derek Alstein STATUS: COMPLETE","D1. Initial Outage Scoping is not completed with quality resulting in missed scope and late scope additions which impacts outage preparation and execution performance.  
D2. Do not have a predictable levelized PM strategy.","Meet Industry standards of 95% or greater                                                                                                            
A2111- 67.45%                                                                                                                                                     
A2131-94.94%",2021-12-31
Scope Stability after breaker open,BA,2022-06-01,"Scope Stability after breaker open for month of June is 91.15%, which is below Industry standards of 95%","A1) Complete quick hit outage lessons learned on equipment challenges / discovery items that challenged U2 RTS 
      causing increased number of scope adds.  Owner: S. Antle TCD: 30JUL2022
A2) Complete GDAR on scope removals during month of June to understand all drivers and actions to prevent re- 
       occurrence in A2241.  Owner: Shea Antle TCD: 30JUL2022
A3) Process improvements made for all material identified at MS5 and all material staged at MS30 to prevent 
      material issues in future outages.  Owner: D. Edwards Status: Complete","D1)	32 WO’s added due to discovery / RTS issues
D2)	43 WO’s removed from scope",Meet Industry standards of 95% or greater,2022-12-30
Scope Stability after breaker open,BA,2022-05-01,Scope Stability after breaker open for month of May is 94.8 which is below Industry standards of 95%,"A1) Process improvements made for all material identified at MS5 and all material staged at MS30 to prevent 
      material issues in future outages.  29 WO’s removed due to 1 TE cat id not available
      Owner: Don Edwards Status: Complete
A2) 18 overhaul breaker WO’s added when discovered past due dates from inspect and clean PM driving the 
       requirement for overhaul.  Confirm outage lessons learned actions are captured in CAP to complete extent of 
       condition.
       Owner: Shea Antle TCD: 30JUN2022
A3) Complete final scrub of WR’s to ensure no newly identified RTS issues needing to be added to scope.
       Owner: Ciaran McCarthy Status: Complete","D1) 34 WO's removed from scope due to parts
D2) 20 WO's added as emergent work identified as RTS issue
D3) 18 WO's added due to missed scope","Meet Industry standards of 95% or greater          ",NULL
Scope Stability after breaker open,BA,2022-09-01,,,,,2001-12-31
Scope Stability after breaker open,BA,2021-10-01,G: Scope Stability after breaker open is below Industry standards of 95%,"A1:  Issue change plan to define steps, sub milestones, sequencing, training, and timelines within initial scoping milestones.  This includes but not limited to getting a quality initial data set, heat mapping, Operations reviews, window TAMS, and approvals.  Revise and implement BP-PROC-00946 All Known Scope Identified and associated documents.   Owner: N.Bibus STATUS: COMPLETE. 
A2: Level and optimize PM scope such that it is accomplishable in a 50 day outage based on historical resource and production rates. Development and Refinement of PM Backbone Schedule  Owner: Colin Graham STATUS: COMPLETE 
A3: Revise BP-PROC-00342 Sheet 2 Scope Review Process based on effectiveness review results of established Pilot to align SRB and SRP quorum for consistency and alignment with industry best practice – Owner Derek Alstein STATUS: COMPLETE
A4: Create an outage hand book to provide clarity for both scope initiators and OEM quality checks to ensure scope meets criteria for acceptance into outage.  Owner: A. Marquardt STATUS: COMPLETE
A5: Complete roll out of revised scope review process to all stakeholders.  Owner: Z. Brajuah STATUS: COMPLETE
A6: Reinforce expectations of revised BP-PROC-00342 Sheet 2 Scope Review Process and newly created BP-HBK-08131-00041 Outage Scope Control Handbook through OEM quality checks prior to submission to SRP.  Owner: D. Edwards TCD: 15DEC2021
A7: This is the final month for this RED METRIC.  All actions to be tracked in DRUM for prevention going forward. Owner: D. Edwards TCD: 26NOV2021","D1. Initial Outage Scoping is not completed with quality resulting in missed scope and late scope additions which impacts outage preparation and execution performance.  
D2. Do not have a predictable levelized PM strategy.","R: Meet Industry standards of 95% or greater                                                                                                            
A2111- 67.45%                                                                                                                                                     
A2131-78.57%",2021-12-31
Scope Stability after breaker open,BA,2022-12-01,"A2241 scope stability between breaker open and breaker close was 91.19%, 3.81% below the 95% industry standard.","A1 - Ensure B-GUID-08131-00005 appendix A: Scope Review Criteria is followed at SRP meetings to sufficiently challenge scope additions  Owner:  Todd Barton-OEM(SRP Quorum)  TCD:  18JUL2023

A2-Complete a final review of A2341 scope to ensure lessons learned from A2241 on missed scoping of EQ, historic PLN and OPA work orders have been added.  Owner:  Outage Engineering (D. Spahich)  TCD:  12FEB2023 (Rev C Complete)

A3-Optimize MCR opportunities; ensuring all bundling opportunities and PM dates alignment are proposed to MCR scope and any additional scope is proposed before breaker open.  Owner:  MCR (Gary Wright)  TCD:  12FEB2023(Rev C Complete)

A4-Reinforce the standard of BP-PROC-00342 Sheet 0002 on the criteria of DOM accepted scope during the 2 week standup of OCC training prior to outage execution.  Owner:  G.Steinberg  TCD:  01May23
A5 -Finalize the A2341/A2411 scope by reviewing/removing all remaining non-ready scope (i.e. outstanding CRs, parts at risk, does not meet timelines, configurations, schedule, etc.)  Owner:T. Barton with support by cross-functional team  TCD:  02APR2023 (Outage Materials Staged)
","118 WOs Added:
•	Emergent Work – 33 (Driver 1)
•	Discovery Work – 42 (Driver 1)
•	Missed Scope – 20 (Driver 2, 3)
•	Other (e.g. visual inspections in support of MCR/ SLAR) – 5
•	DOM Accepted -18 (Driver 4)

Below are not noted in the above total of 118 WO adds
*Admin Adds – 32 
113 WOs Deleted:
•	Parts Unavailable – 52 (Driver 5)
•	Resources – 3 
•	WO Not Prepared or Ready – 6 
•	Schedule Impact / Missed Window - 19
•	Work Not Required – 33 (Driver 2, 3)
118 WOs Added:
•	Emergent Work – 33 (Driver 1)
•	Discovery Work – 42 (Driver 1)
•	Missed Scope – 20 (Driver 2, 3)
•	Other (e.g. visual inspections in support of MCR/ SLAR) – 5
•	DOM Accepted -18 (Driver 4)

Below are not noted in the above total of 118 WO adds
*Admin Adds – 32 
113 WOs Deleted:
•	Parts Unavailable – 52 (Driver 5)
•	Resources – 3 
•	WO Not Prepared or Ready – 6 
•	Schedule Impact / Missed Window - 19
•	Work Not Required – 33 (Driver 2, 3)
","A1 -Scope is sufficiently challenged and directed appropriately to correct outage to improve scope stability during A2341 execution.
A2 -No missed scope added or removed after breaker open 
A3 -0No missed scope added or removed after breaker open
A4 -DOMs are clear on DOM accepted scope criteria and process within Maximo
A5 -No scope removals after breaker open due to already identified parts at risk.
",2023-07-18
Scope Stability after breaker open,BA,2022-11-01,"A2241 scope stability between breakeA2241 scope stability between breaker open and breaker close was 91.19%, 3.81% below the 95% industry standard. open and breaker close was 91.19%, 3.81% below the 95% industry standard.","1. Ensure B-GUID-08131-00005 appendix A: Scope Review Criteria is followed at SRP meetings to sufficiently challenge scope additions  Owner-Todd Barton-OEM(SRP Quorum) TCD: 18jul23
2.Complete a final review of A2341 scope to ensure lessons learned from A2241 on missed scoping of EQ, historic PLN and OPA work orders have been added.  Owner:Outage Engineering (D. Spahich) TCD: 12FEB2023(Rev C Complete)","118 WOs Added:
•	Emergent Work – 33 (Driver 1)
•	Discovery Work – 42 (Driver 1)
•	Missed Scope – 20 (Driver 2, 3)
•	Other (e.g. visual inspections in support of MCR/ SLAR) – 5
•	DOM Accepted -18 (Driver 4)

Below are not noted in the above total of 118 WO adds
*Admin Adds – 32 
113 WOs Deleted:
•	Parts Unavailable – 52 (Driver 5)
•	Resources – 3 
•	WO Not Prepared or Ready – 6 
•	Schedule Impact / Missed Window - 19
•	Work Not Required – 33 (Driver 2, 3)
","Scope is sufficiently challenged and directed appropriately to correct outage to improve scope stability during A2341 execution. 
No missed scope added or removed after breaker open
DOMs are clear on DOM accepted scope criteria and process within Maximo
No scope removals after breaker open due to already identified parts at risk.",2023-04-02
Radiation Protection Index,BA,2022-11-01,"RPI is currently 56.4 points against a target of 79.98.   Largest contribution to RPI point losses is a result of unplanned tritium uptakes.  Based on the 12 month point loss roll-off, performance is expected to recover by May, 2023. ","1.	D1 - Bruce A Senior Leadership Team to implement zero tolerance process for gaps in Radiation Worker Practice.  Owner: Zach Brajuha TCD: 31Dec22 (Complete - Ongoing as core work)
2.	D1 - Implement SLT DRUM/CRUM Reporting for Radiation Worker Practice/RP Events – Only exception to be approved by PM/RPM.  Owner: Zach Brajuha TCD: Complete - Ongoing as core work)
3.	 D2 - Implement RP Assist Prevention.  Owner: L. Von Hatten TCD: Complete (Ongoing Weekly)
4.	D2- Implement Plant Manager expectation/sign off for all staff to complete the Posting Micro Learning and review rad worker fundamental alert. Owner J.Marshall TCD: Complete
5.	D2- Maintenance, RP and Chemistry to complete tritium focused DLA. Owner L. Von Hatten TCD: Complete
6.	Establish O&C plan for A2241 Outage.  Owner: Z. Brajuha/A. Planz TCD: Complete
7.	D1 + D2 - Establish cross functional learning team including Ops, Maintenance, and RP for unplanned tritium uptakes.  Owner: Lisa Von Hatten TCD: Complete
8.	D2/D2/D4 – CR192438 – Finalize Phase 1 Elevation response plan on staff awareness/response to alarming radiation instrumentation.  Owner: Z. Brajuha TCD: 30Mar2023
9.	D4 - Implement CSA H3 HIT team report to weekly RP OFAM package to increase visibility the equipment health and current action status.  Owner: L. Von Hatten TCD: Ongoing
10.  Implemented revised COG Radiation Protection Index to better align with industry best practice.  Owner: L. Conley TCD: 01Jan2023","1.	Workers are not always adhering to Radiation Protection Standards and at times performance is being tolerated and not being properly reinforced by station leadership. 
2.	Radiation Protection Standards and Expectations are not clear in some cases. 
3.	Equipment deficiencies occurred on systems containing D2O (e.g. 0-38100-V1 diaphragm failure)
4.	Equipment deficiencies exist on systems designed to remove H3 concentration from containment and confinement.","1.	0 events impacting RPI.  RPI performance recover by May, 2023. 
2.	Leaders at Bruce A demonstrate low tolerance for radiation work practice issues and focus on prevention.  This will be demonstrated by supervisors ensuring appropriate consequence (PIC and NIC) are applied for RP Fundamentals.  Improvements will be measured using the RP worker practice scorecard. 
3.	Sustainable actions are in place to improve equipment reliability for failed diaphragm valves. 
4.	A strategy is in place to ensure containment and confinement dryer system health.  
5.	Training is revised for orange badge continuing training, and RP technician continuing training to improve station response to a radiological event. 
6.	Processes and procedures are revised  to enhance H3 in general area prevention, and earlier detection.  (Specifically – BP-PROC-00917 Tritium Air Monitoring Program, and BP-PROC-00048 Large Area Containments)",2023-05-31
Radiation Protection Index,BA,2022-12-01,"RPI is currently 69.1 points against a target of 80.0.  The largest contribution to RPI point losses is the result of 2 unplanned tritium uptakes.  Internal dose accounted for 30% of the total online dose in 2022. RPI performance is expected to recover in June, 2023. This will require event free performance","1.	D1 - Bruce A Senior Leadership Team to continue to reinforce, monitor, correct RP behaviours using the Radiation Worker Practice Scorecard .  Owner: Zach Brajuha TCD: 31Dec23 ( Ongoing)
2.	D1-Implement reporting for RP performance and ALARA initiatives for Operations, Maintenance and Chemistry CRUMS/DRUMs-  Owner:  Zach Brajuha 10Feb23
3.	 D2 - Implement RP Assist Prevention schedule for 2023.  Owner: L. Von Hatten TCD: 31JAN2023
4.	 D2- Develop RP focused DLA based on observations learning opportunities. Owner L. Von Hatten TCD 31MAR23
5.	D1 +D2-Establish O&C plan for A2341 Outage.  Owner: Z. Brajuha/A. Planz TCD: 01Apr2
6.	D2/D2/D4 – CR192438 – Complete Phase 1 Elevation response action plan on staff awareness/response to alarming tritium monitors.  Owner: Z. Brajuha TCD: 01Aug2023
7.	D3- Utilize the Fluid Leak Database to identify and apply ALARA flags into the work management process. Owner L.Von Hatten TCD 31MAR23
9.	D4- Action: Review the Crit Cat of VVR system components and review the PM program to determine which PMIDs require a frequency change and initiate PMCR. 31Dec22 S Complete
10.	 D4- Review and propose strategy for aging equipment to determine what is covered by a current asset management strategy and what gaps needs to be filled. If spare parts are  required, initiate and complete “Inventory Exceptions Process” form and follow up with Supply Chain Owner: TCD: 31Dec22 Complete
11.	D4- Review options and what it would take to install online performance monitoring to assess VVR dryer health. Outline work required to implement and develop a plan to implement. Owner  TCD 31Dec22 Complete
12.	D4- Develop a tritium management plan that supports timely identification and optimization of VVR/CVR Dryer performance. The plan will also measure and trend tritium values with defined controls around containment access to ensure internal exposure is ALARA.  Owner A.Dykstra TCD 07Feb23
13.	D2- Participate as a key stakeholder in the 2023 Outage Dose Reduction Committee (ODRC). The committee will be used to facilitate a reduction in dose for major outage programs and reduce overall collective radiation exposure in alignment with the station ALARA objectives.  Z. Brajuha 31DEC23","1.	Workers are not always adhering to Radiation Protection Standards and at times performance is being tolerated and not being properly reinforced by station leadership. 
2.	Radiation Protection Standards and Expectations are not clear in some cases. 
3.	Equipment deficiencies occurred on systems containing D2O (e.g. 0-38100-V1 diaphragm failure)
4.	Equipment deficiencies exist on systems that are impacting tritium concentrations in containment and confinement
","1.	0 events impacting RPI.  RPI performance recover by June, 2023. 
2.	Leaders at Bruce A demonstrate low tolerance for radiation work practice issues and focus on prevention.  This will be demonstrated by supervisors ensuring oversight, reinforcement, and coaching is applied for RP Fundamentals.  Improvements will be measured using the RP worker practice scorecard.
3.  Online and Outage Dose Reduction initiatives are in place and actions are being tracked through ODRC, Station, and Site ALARA.  2023 Dose Performance is on or below target. ",2023-06-01
Radiation Protection Index,BA,2022-10-01,"RPI is currently 56.7 points against a target of 80.0.   Largest contribution to RPI point losses is a result of unplanned tritium uptakes.  Last event impact RPI was in October, 2022 due to an unposted hazard associated with A2241 outage.  Unit 4 has 0 points for CRE as expected. A  1 point gain was realized in August with CR108708 H3 exposure rolling off (12 month cycle).  Year-end forecast for RPI is 56.7 points vs a target of 80.  Based on current RPI, performance will not recover until June, 2023.  This will require event free performance. ","1.	D1 - Bruce A Senior Leadership Team to implement zero tolerance process for gaps in Radiation Worker Practice.  Owner: Zach Brajuha TCD: 31Dec22 (Ongoing)
2.	D1 - Implement SLT DRUM/CRUM Reporting for Radiation Worker Practice/RP Events – Only exception to be approved by PM/RPM.  Owner: Zach Brajuha TCD: Complete (Ongoing)
3.	 D2 - Implement RP Assist Prevention.  Owner: L. Von Hatten TCD: Complete (Ongoing Weekly)
4.	D2 – Establish Plant Manager expectation/sign off for all staff to complete the Working in Tritium – Micro Learning prior to A2241.  Owner: J. Marshall TCD: Complete
5.	D2- Implement Plant Manager expectation/sign off for all staff to complete the Posting Micro Learning and review rad worker fundamental alert. Owner J.Marshall TCD: 15NOV22
6.	D2- Maintenance, RP and Chemistry to complete tritium focused DLA. Owner L. Von Hatten 30NOV22
7.	Establish O&C plan for A2241 Outage.  Owner: Z. Brajuha/A. Planz TCD: Complete/In Progress
	Plan includes the following:
1.	Internal RP Fleet focused observation calendar 
2.	Station RP observation focus area calendar highlighting higher risk jobs. 
3.	Weekly RP Fundamental 101 alerts developed by RP Fleet
4.	RP Assist
8.	D1 + D2 - Establish cross functional learning team including Ops, Maintenance, and RP for unplanned tritium uptakes.  Owner: Lisa Von Hatten TCD: Complete
9.	D2/D2/D4 – CR192438 – Finalize Phase 1 Elevation response GDAR on staff awareness/response to alarming tritium monitors.  Owner: Z. Brajuha TCD: Complete
	Finalized action plan to include, but not limited to the following:
1.	Revise orange continuing training to ensure all staff understand response to alarming instrumentation (TCR submitted and accepted).
2.	Revise RP technician continuing training to include BP-RPP-00047 Response to Radiological Event. (TCR submitted and accepted)
3.	CR190468 - EOC walk down of valve list provided by Engineer for any additional tenting requirements. Owner: L. Von Hatten TCD: 23Jan22
4.	Install enhanced alarming capability for station Overhoff 357’s.  Owner: Z. Brajuha TCD: 15Dec22
5.	Revise governance and establish programmatic requirements for enhanced alarming modules and permanent large are containments. Owner: L. Conley TCD: 15DEC22
10.	D3 - CR190468 – Radiation Event D2O Spill U0 – Ensure a tent is built at S&I header to contain any repeat valve failures Owner:  I. Zanchetta TCD: Complete (Tent in place)
11.	D4 - CSA H3 HIT – Operations to enhance training, and/or OFI to improve operator ability to detect and escalate dryer deficiencies early to maintain contain H3 ALARA.  Specifically around collection, heater and relay performance .  Owner: J. Maxwell TCD: Complete
12.	D4 - Install continuous tritium monitoring in CSA to enhance tritium monitoring and provide early visibility of adverse trends.  Owner: L. Von Hatten TCD: Complete
13.	D4 - Engineering to present VVR strategy to SPHC based on HIT team input.  Owner: S. Kalra TCD: Complete
14.	D4- Action: Review the Crit Cat of system components and review the PM program to determine which PMIDs require a frequency change and initiate PMCR. Owner: S Karlra 30DEC22
15.	15 D4- Review and propose strategy for aging equipment to determine what is covered by a current asset management strategy and what gaps needs to be filled. If spare parts are required, initiate and complete “Inventory Exceptions Process” form and follow up with Supply Chain Owner: S.Kalra TCD:30DEC2022
16.	D4- Review options and what it would take to install online performance monitoring to assess VVR dryer health. Outline work required to implement and develop a plan to implement. S.Bala TCD 25Nov22

17.	D4 - Implement CSA H3 HIT team report to weekly RP OFAM package to increase visibility the equipment health and current action status.  Owner: L. Von Hatten TCD: Complete (ongoing)
","1.	Workers are not always adhering to Radiation Protection Standards and at times performance is being tolerated and not being properly reinforced by station leadership. 
2.	Radiation Protection Standards and Expectations are not clear in some cases. 
3.	Equipment deficiencies occurred on systems containing D2O (e.g. 0-38100-V1 diaphragm failure)
4.	Equipment deficiencies exist on systems designed to remove H3 concentration from containment and confinement.
","1.	0 events impacting RPI.  RPI performance recover by June, 2023. 
2.	Leaders at Bruce A demonstrate low tolerance for radiation work practice issues and focus on prevention.  This will be demonstrated by supervisors ensuring appropriate consequence (PIC and NIC) are applied for RP Fundamentals.  Improvements will be measured using the RP worker practice scorecard. 
3.	Sustainable actions are in place to improve equipment reliability for failed diaphragm valves. 
4.	A strategy is in place to ensure containment and confinement dryer system health.  
5.	Training is revised for orange badge continuing training, and RP technician continuing training to improve station response to a radiological event. 
6.	Processes and procedures are revised  to enhance H3 in general area prevention, and earlier detection.  (Specifically – BP-PROC-00917 Tritium Air Monitoring Program, and BP-PROC-00048 Large Area Containments)
",2023-06-30
Radiation Protection Index,BA,2021-10-01,During the month of Oct 2021 the Bruce A RPI is at 76.5 against the projected target of 76.8 as a result of a Dose Control Precursor event during the A2131 outage. CR 108718 (Mod HX scaffolding). This event will result in failing to meet the year end target RPI of 85. The revised forecast projects a best case performance of 84.6,"1. (Issue Maintenance Fundamental Alert on risk associated with quarter turn ball valves and recent OPEX. 
    COMPLETE
2. Issue Maintenance Expectations document that all unrestrained quarter turn ball valves (or other positionable 
    components) in vicinity of work areas represent Stop Work Criteria and workers are to request Operations 
    support with installing restraints prior to working in the area. Issue sign back for confirmation. N. Greco TCD 19 
    November .
3. Provide Maintenance Expectations document to the Training Department to integrate into 1st Quarter 2022 
    continuing training. N. Greco TCD 19 November
4. (D2) BA Operations in Correction on RP Assist. All 5 crews are required to complete a GDAR and identify focus 
    areas for RP Assist. (CR Owner: Eric Dunn TCD: 30Nov2021 
5. (D2) BA and BB Maintenance FLMs to complete RP focused paired observations with RP FLMs. One paired 
    observation per supervisor of rad workers. Performance will be measured on the Rad Worker Score Card. (FASA). 
    TCD: 15Dec2021 R1 Owner: Noel Greco (In-progress)","1. Failure to apply a engineered barrier allowed a bumping event  to release high Ci moderator water into the room 
    exposing workers to a hazard.
2. Supervisors are not identifying adverse trends and correcting gaps at a lower threshold
","1. Maintenance workers identify positionable components in area of work and do not proceed with work until risks 
    are mitigated.Trends are being identified and resolved at a lower threshold.  Tracked via CRUMs and Performance  
    management metrics.
2. 8 out of 9 FCOs completed YTD (100% by 30Nov2021)
    • FH Ops – 7 FSOSs
    • D2O Ops – 1 FLM
    • Scaffolding – 3 FLMs
    • FIN – 3 FLMs",NULL
Radiation Protection Index,BA,2021-12-01,During the month of Dec 2021 the Bruce A RPI is at 84 against the projected target of 85 YTD as a result of 2 events; 1. Dose Control Precursor event during the A2131 outage. CR 108718 (Mod HX scaffolding). 2. Legacy design unposted hazard above u1-4 steam drums. These events will result in failing to meet the year end target RPI of 85. The revised forecast projects a best case performance of 84.0,"1. (Issue Maintenance Fundamental Alert on risk associated with quarter turn ball valves and recent OPEX. COMPLETE
2. Issue Maintenance Expectations document that all unrestrained quarter turn ball valves (or other positionable components) in vicinity of work areas represent Stop Work Criteria and workers are to request Operations support with installing restraints prior to working in the area. Issue sign back for confirmation. N. Greco TCD Complete
3. Provide Maintenance Expectations document to the Training Department to integrate into 1st Quarter 2022 continuing training. N. Greco TCD Complete
4. (D2) BA Operations in Correction on RP Assist. All 5 crews are required to complete a GDAR and identify focus areas for RP Assist. (CR Owner: Eric Dunn TCD: Complete (Tracking in Ops and RP DRUM)
5. (D2) BA and BB Maintenance FLMs to complete RP focused paired observations with RP FLMs. One paired observation per supervisor of rad workers. Performance will be measured on the Rad Worker Score Card. (FASA). TCD: Complete R1 Owner: Noel Greco (In-progress)","1. Failure to apply a engineered barrier allowed a bumping event  to release high Ci moderator water into the room exposing workers to a hazard.
2. Supervisors are not identifying adverse trends and correcting gaps at a lower threshold","1. Maintenance workers identify positionable components in area of work and do not proceed with work until risks are mitigated.Trends are being identified and resolved at a lower threshold.  Tracked via CRUMs and Performance management metrics.
2. 8 out of 9 FCOs completed YTD (100% by 30Nov2021)
• FH Ops – 7 FSOSs• D2O Ops – 1 FLM• Scaffolding – 3 FLMs• FIN – 1 FLM
• Corrective – 3 FLM
•  Station RP
• A to E Shift Ops",NULL
